Area	Medium	First name	Last name	Business name	Website	Artist statement
COMMUNITY CORNER	Non profit (501c3)	Boyd	Baker	Community Arts Live	https://www.xmarksthepark.com	Creating documentary on Atlanta's Road Battles and would like to share the story. Also, hoping to collect more tales from intowners.
COMMUNITY CORNER	Non profit (501c3)	Lucas	Bitter	Intown Lutheran Church	intownlutheran.com	Intown Lutheran Church &quot;A God Worth Knowing&quot; &quot;A City Worth Loving&quot; &quot;A Life Worth Living&quot;
COMMUNITY CORNER	Non profit (501c3)	Ashley	Elliott	The Alliance Theatre	https://www.alliancetheatre.org	Non-profit theater applying to be a part of the Community Center
COMMUNITY CORNER	Non profit (501c3)	David	Epstein	ContactPoint, L5P	https://www.atlcp.org	We provide after school classes and parties focusing on sports and activities. We specialize in tree climbing, soccer, dodgeball, capture the flag, hockey, art, tennis, ultimate, golf, and basketball.
COMMUNITY CORNER	Non profit (501c3)	Julie	Escarcega	Good Mews Animal Foundation	www.goodmews.org	We will be selling pet related merchandise, including mugs, tiles, shirts, and jewelry.
COMMUNITY CORNER	Non profit (501c3)	Paige	Gradishar	Something New	www.somethingnew.org	Our booth sells handmade items from Peru and local artists. Handmade llama dolls made from authentic alpaca fur, blankets woven on a loom, and string art pieces handmade from wood, nails, and string.
COMMUNITY CORNER	Non profit (501c3)	Julia	Mayfield	LifeLine Animal Project	n/a	LifeLine Animal Project isn't your average animal welfare organization. We take a holistic approach to improving the standard of care for animals in Atlanta through management of the county shelters,
COMMUNITY CORNER	Non profit (501c3)	Cindy	Parker	n/a	n/a	We are a non-profit Buddhist Meditation Center in Inman Park on Edgewood Avenue
COMMUNITY CORNER	Non profit (501c3)	Courtney	Perez	n/a	https://www.fullcirclefarmsanctuary.org	We are a non-profit animal sanctuary, we have participated in the past in the festival. We will have information about our sanctuary, ways to get involved and support the animals.
COMMUNITY CORNER	Non profit (501c3)	Susan	Pierce	Trees Atlanta	www.treesatlanta.org	Non-profit doing community outreach about our urban forest
COMMUNITY CORNER	Non profit (501c3)	Nancy	Quintrell	n/a	n/a	The Central Fulton Master Gardeners is a nonprofit group of volunteers that offers gardening advice to event goers and provides plants for purchase.
COMMUNITY CORNER	Non profit (501c3)	Kyndall	Thiessen	n/a	n/a	Chattahoochee Riverkeeper is an environmental advocacy organization dedicated solely to protecting and restoring the Chattahoochee River Basin.
COMMUNITY CORNER	Non profit (501c3)	Camille	Wiggins	Lighthouse Therapeutic Foster Care	https://www.lighthousetfc.org	Lighthouse Therapeutic Foster Care Inc is a non profit company. Looking to provide information about the company and the need for foster parents in Georgia. We will provide free water & merchandise.
JURIED SHOW	Ceramics	Maria	Bruckman	Maria Bruckman Art	https://mariabruckmanart.com	I handmake my art from porcelain. Pieces are detailed with hand-made glazes, gold/platinum lusters, gold filled/silver wire, semi-precious stones, & pearls. All pieces are one-of-a-kind works of art.
JURIED SHOW	Ceramics	Cara	Gilbert	Cara Gilbert Ceramics	n/a	Hand thrown stoneware and porcelain. All designed and thrown and glazed by only me. Graphic design on supple forms.
JURIED SHOW	Ceramics	Veronique	Harris	n/a	veroniqueharris.com	Ceramic sculptural and functional art. Wheel thrown, hand-built and sculpted using porcelaneous clay, decorated using underglazes, oxides and glazes. Fired to cone 6 in an electric kiln.
JURIED SHOW	Ceramics	Brenna	McBroom	BrennaDee Ceramics	brennadee.com	I design and create a line of wheel thrown, crystalline glazed porcelain ware as well as a line of functional slipcast work emphasizing clean lines, subtle microcrystalline glazes, and bright colors.
JURIED SHOW	Ceramics	Yesha	Panchal	n/a	www.yesha-art.com	Most of my works are inspired by nature. This handmade vase has an exclusive shape from off white stoneware clay with an ascent black of color and unique hand drawn patterns to create originality.
JURIED SHOW	Ceramics	polly	sherrill	polly on the avenue	pollythepotter.com	i make wheel thrown brightly colored functional pottery..handpainted and slip decorated..microwave, dishwasher safe..a neighborhood favorite,,
